Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
410.35,3,20170703,20170703,0.68,0.54,0.69,1.12,,0.66,0.72,0.93,1.67,,0.99,0.64,0.77,1.28,,0.27,0.45,0.37,0.26,,-0.009912814,3.768507481,2.54,5.00,14.13,46.41,,51.07407791,0.725858808,#NUM!,,0.025830129,0.008496005,0.033684847,0.181962975,,0.031467793,0.002823150,0.031138068,0.016928688,,0.753713256,0.004578769,0.003880319,0.055224196,,0.005251433,0.002823150,0.002823150,0.002841329,,0.000000000,0.000000000,0.000000000,0.000000006,,0.137023047,#NUM!
410.36,5,20170703,20170703,0.65,0.52,0.63,1.01,,0.83,0.62,0.81,1.33,,0.55,0.54,0.65,1.26,,0.27,0.34,0.32,0.28,,0.011813338,3.268302441,2.39,4.93,13.05,38.36,,50.4592832,0.920128107,#NUM!,,0.071717766,0.002253934,0.003040452,0.885084229,,0.207031335,0.000117209,0.000468969,0.022514143,,0.011671668,0.000131151,0.000124405,0.233921029,,0.000253550,0.000117209,0.000117209,0.000159102,,0.000000000,0.000000000,0.000000000,0.000000000,,0.807902932,#NUM!
410.37,4,20170703,20170703,0.36,0.30,0.41,0.80,,0.34,0.66,0.88,1.66,,0.44,0.43,0.62,1.28,,0.29,0.39,0.33,0.26,,-0.344260812,3.329699993,2.06,3.90,10.35,35.27,,58.52349183,1.125261784,#NUM!,,0.000877971,0.000817066,0.001006088,0.072842124,,0.000661455,0.000570975,0.000924881,0.004091522,,0.002261280,0.000567146,0.000574821,0.166021750,,0.001072993,0.000578697,0.000567150,0.000656882,,0.000000000,0.000000000,0.000000000,0.000000000,,0.235648230,#NUM!
410.38,7,20170703,20170703,0.32,0.20,0.19,0.32,,1.18,0.95,0.94,1.79,,1.08,0.72,0.79,1.25,,0.81,0.62,0.50,0.28,,0.178671122,2.836974859,2.62,4.20,7.79,19.82,,52.62821536,1.824120283,#NUM!,,0.000011407,0.000007074,0.000006258,0.000006762,,0.028759458,0.465769430,0.035334225,0.000225998,,0.816237384,0.000075109,0.000020341,0.023433820,,0.299975027,0.000072983,0.000005285,0.000006588,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000089610,#NUM!
410.39,1,20170703,20170703,0.59,0.46,0.62,1.17,,0.93,0.69,0.92,1.69,,0.61,0.56,0.62,1.30,,0.53,0.39,0.35,0.30,,0.280140191,5.138136387,2.37,4.71,14.78,48.70,,57.26322475,0.754661977,#NUM!,,0.160151270,0.114284763,0.157996927,0.496220263,,0.678274322,0.084568167,0.162327748,0.137645628,,0.121989741,0.085226063,0.084568019,0.270224560,,0.159071339,0.084568167,0.084568167,0.084757520,,0.000000000,0.000000000,0.000000000,0.002437692,,0.418664783,#NUM!
410.40,4,20170703,20170703,0.86,0.61,0.63,0.80,,0.86,0.73,0.88,1.42,,0.51,0.54,0.71,1.16,,0.44,0.45,0.40,0.41,,0.166269362,3.57911396,2.58,5.29,12.27,31.05,,35.03152456,0.995177925,#NUM!,,0.143409642,0.004639482,0.004613200,0.199997560,,0.322615215,0.000725795,0.004745971,0.017892244,,0.003785035,0.000949190,0.000622935,0.345795192,,0.002573832,0.000567150,0.000567150,0.000703355,,0.000000000,0.000000000,0.000000000,0.000000000,,1.000000000,#NUM!
410.41,3,20170703,20170703,0.32,0.15,0.18,0.38,,1.78,0.68,0.77,1.67,,47.97,0.41,0.56,1.15,,0.17,0.26,0.22,0.26,,-0.784147322,2.409151554,1.78,2.63,4.71,13.59,,60.93282301,0.827415586,#NUM!,,0.003604881,0.002961801,0.002982107,0.003485655,,0.342831464,0.002881830,0.002842588,0.011931246,,0.002765550,0.002823135,0.002832841,0.355251471,,0.017431072,0.002823150,0.002823150,0.002886246,,0.000000000,0.000000000,0.000000000,0.000000000,,0.846213102,#NUM!
410.42,5,20170703,20170703,0.36,0.23,0.29,0.68,,0.70,0.58,0.76,2.00,,0.37,0.37,0.56,1.30,,0.26,0.22,0.22,0.16,,-0.528683603,2.451443195,1.96,2.85,6.72,22.51,,64.31451245,0.852329969,#NUM!,,0.000273528,0.000179435,0.000179435,0.003539542,,0.239899238,0.000133769,0.000152517,0.000414995,,0.444356398,0.000117208,0.000117988,0.025772993,,0.000955367,0.000117209,0.000117209,0.000118669,,0.000000000,0.000000000,0.000000000,0.000000000,,0.408435613,#NUM!
410.43,4,20170703,20170703,0.27,0.08,0.04,0.18,,15.11,0.91,0.93,3.15,,26.16,19.98,0.61,1.03,,0.08,0.08,0.24,0.31,,-0.780541062,0.546735346,1.91,2.20,2.42,6.82,,75.27657281,0.554374814,#NUM!,,0.000697540,0.000567150,0.000567150,0.000582595,,0.046590568,0.349057637,0.205145881,0.000725795,,0.000552082,0.000827834,0.000582592,0.556769994,,0.003127848,0.000567150,0.000567150,0.000581242,,0.000000000,0.000000000,0.000000000,0.000000000,,0.008790725,#NUM!
410.45,4,20170703,20170703,0.32,0.13,0.16,0.37,,1.07,0.57,0.97,1.90,,25.36,0.53,0.63,1.19,,0.14,0.26,0.21,0.23,,-0.826475561,1.704016805,1.81,2.38,3.89,11.97,,63.41094561,0.697156072,#NUM!,,0.000822437,0.000578697,0.000594435,0.000716260,,0.964501973,0.004827284,0.625736132,0.001996062,,0.080393675,0.000574820,0.000574821,0.271373076,,0.000895298,0.000567150,0.000567150,0.000581242,,0.000000000,0.000000000,0.000000000,0.000000000,,0.064623870,#NUM!
