Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
410.20,8,20170626,20170626,0.37,0.08,0.03,0.04,,1.47,0.80,0.77,2.11,,11.35,1.52,0.79,1.10,,0.03,0.04,0.17,0.29,,-0.44450748,0.370656461,1.88,2.19,2.39,5.63,,70.63925358,1.035636187,#NUM!,,0.000005400,0.000001157,0.000001109,0.000001174,,0.224981403,0.510847547,0.011319089,0.000002384,,0.000001619,0.108012935,0.002891035,0.214302410,,0.000234564,0.000001307,0.000001235,0.000001247,,0.000000000,0.000000000,0.000000000,0.000000000,,0.907868505,#NUM!
410.23,5,20170626,20170626,0.70,0.39,0.31,0.42,,0.84,0.67,0.75,1.44,,0.50,0.51,0.46,1.17,,0.35,0.31,0.25,0.26,,-0.079582825,3.100812435,2.39,3.54,6.84,27.18,,66.00714725,0.786874056,#NUM!,,0.038979546,0.000332732,0.000243074,0.007003167,,0.196494744,0.000144142,0.000114040,0.002156541,,0.008052566,0.000149472,0.000114040,0.095654929,,0.086688620,0.000141030,0.000122743,0.000122429,,0.000000000,0.000000000,0.000000000,0.000000000,,0.081771170,#NUM!
410.25,8,20170626,20170626,0.47,0.41,0.47,0.58,,0.64,0.52,0.74,1.06,,0.39,0.41,0.45,1.10,,0.45,0.42,0.37,0.42,,0.076485179,2.319499016,2.32,5.04,16.96,62.66,,63.6158019,1.674260139,#NUM!,,0.000510373,0.000212109,0.001618595,0.049857754,,0.010519127,0.000001183,0.000001101,0.546179172,,0.000233259,0.000001529,0.000001101,0.126617953,,0.093294076,0.000001630,0.000001235,0.000001429,,0.000000000,0.000000000,0.000000000,0.000000000,,0.002307602,#NUM!
410.26,7,20170626,20170626,0.49,0.36,0.36,0.37,,0.32,0.55,0.71,0.92,,1.32,0.52,0.37,1.12,,0.09,0.22,0.22,0.31,,-0.420625448,2.386096001,2.02,3.13,6.59,19.34,,58.57357803,0.576357067,#NUM!,,0.000622603,0.000016239,0.000032810,0.000127023,,0.000544063,0.000005852,0.000005101,0.244693851,,0.283678398,0.000008883,0.000005101,0.992720049,,0.005619549,0.000006425,0.000005645,0.000005784,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000476304,#NUM!
410.27,2,20170626,20170626,0.59,0.22,0.12,0.13,,1.05,0.74,0.77,1.40,,0.60,0.43,0.49,1.08,,0.18,0.24,0.25,0.28,,-0.23726812,1.393542409,2.34,2.55,3.47,7.22,,60.01216901,0.736144781,#NUM!,,0.098240582,0.015972280,0.015000204,0.015479528,,0.824995166,0.024645490,0.014534003,0.076656205,,0.075242057,0.015479507,0.014533991,0.553821019,,0.209844806,0.015601445,0.015000204,0.014933769,,0.000000000,0.000000000,0.000000000,0.000000000,,0.087912088,#NUM!
410.28,8,20170626,20170626,0.45,0.16,0.09,0.07,,0.58,0.37,0.42,0.61,,2.78,0.36,0.25,0.98,,0.26,0.89,0.74,0.24,,-0.103733458,1.807839394,2.21,2.91,4.35,8.23,,36.87653817,2.235527277,#NUM!,,0.000026159,0.000001336,0.000001235,0.000001217,,0.018523570,0.000001166,0.000001101,0.000042720,,0.000291087,0.047581628,0.000001101,0.298365185,,0.593456402,0.385435673,0.000771169,0.000001247,,0.000000000,0.000000000,0.000000000,0.000000000,,0.001780210,#NUM!
410.33,3,20170703,20170703,1.12,0.86,0.69,0.54,,0.45,0.41,0.60,0.66,,0.22,0.22,0.32,0.98,,0.14,0.13,0.12,0.28,,-0.208109349,3.827970266,2.21,4.69,11.48,29.81,,43.89916781,0.993613124,#NUM!,,0.881545047,0.313381621,0.088758432,0.086170567,,0.008870541,0.002836950,0.002772842,0.003917152,,0.003154381,0.002836944,0.002772839,0.826759311,,0.105126345,0.002969242,0.002902408,0.002917676,,0.000000000,0.000000000,0.000000000,0.000000000,,0.560662746,#NUM!
410.35,3,20170703,20170703,1.16,0.81,0.73,0.65,,0.35,0.44,0.65,0.90,,0.43,0.27,0.37,1.12,,0.10,0.15,0.13,0.18,,-0.009912814,3.768507481,2.54,5.00,14.13,46.41,,51.07407791,0.863111794,#NUM!,,0.824946032,0.188346389,0.133161611,0.317872902,,0.005397303,0.002836950,0.002772842,0.231406492,,0.007520243,0.002836944,0.002772839,0.252958517,,0.081177755,0.003014574,0.002902408,0.002887708,,0.000000003,0.000000000,0.000000000,0.000000000,,0.271740198,#NUM!
410.36,5,20170703,20170703,1.12,0.79,0.67,0.58,,0.44,0.38,0.56,0.72,,0.24,0.23,0.31,1.10,,0.11,0.12,0.11,0.20,,0.011813338,3.268302441,2.39,4.93,13.05,38.36,,50.4592832,1.094115496,#NUM!,,0.503930073,0.240190063,0.036329062,0.059529423,,0.000849351,0.000118316,0.000114040,0.004424304,,0.000212497,0.000118316,0.000114040,0.901080515,,0.021324608,0.000128261,0.000122743,0.000122429,,0.000000000,0.000000000,0.000000000,0.000000000,,0.224113911,#NUM!
410.37,4,20170703,20170703,0.61,0.46,0.44,0.46,,0.18,0.40,0.61,0.90,,0.19,0.18,0.29,1.12,,0.11,0.13,0.12,0.19,,-0.344260812,3.329699993,2.06,3.90,10.35,35.27,,58.52349183,1.338037968,#NUM!,,0.022005872,0.002757354,0.003144320,0.022122889,,0.000687309,0.000571119,0.000554322,0.166533120,,0.000643157,0.000571117,0.000554321,0.690629766,,0.049086947,0.000610660,0.000588389,0.000585782,,0.000000000,0.000000000,0.000000000,0.000000000,,0.010319725,#NUM!
410.38,7,20170703,20170703,0.54,0.30,0.21,0.19,,0.62,0.58,0.65,0.97,,0.47,0.30,0.37,1.09,,0.31,0.21,0.18,0.20,,0.178671122,2.836974859,2.62,4.20,7.79,19.82,,52.62821536,2.169044018,#NUM!,,0.001714559,0.000014542,0.000007626,0.000007959,,0.008442279,0.000007518,0.000005101,0.164553629,,0.000201931,0.000005366,0.000005101,0.299681589,,0.072988337,0.000006333,0.000005645,0.000005672,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000054130,#NUM!
410.39,1,20170703,20170703,1.00,0.70,0.66,0.68,,0.49,0.42,0.64,0.92,,0.26,0.23,0.29,1.13,,0.21,0.13,0.13,0.22,,0.280140191,5.138136387,2.37,4.71,14.78,48.70,,57.26322475,0.897361338,#NUM!,,0.987114989,0.348922779,0.316691716,0.526162727,,0.138411588,0.084711968,0.083985613,0.619469519,,0.089177400,0.084711905,0.083985575,0.528801170,,0.389805654,0.086179923,0.085443397,0.085237533,,0.000347361,0.000000129,0.000267624,0.000166076,,0.643983066,#NUM!
410.40,4,20170703,20170703,1.47,0.92,0.68,0.46,,0.46,0.45,0.62,0.77,,0.22,0.22,0.33,1.01,,0.17,0.15,0.14,0.30,,0.166269362,3.57911396,2.58,5.29,12.27,31.05,,35.03152456,1.183356643,#NUM!,,0.215591530,0.342029251,0.038019829,0.035127638,,0.003123853,0.000571119,0.000554322,0.018737012,,0.000713037,0.000571117,0.000554321,0.959016813,,0.071769942,0.000624396,0.000588389,0.000585782,,0.000000000,0.000000000,0.000000000,0.000000000,,0.143814400,#NUM!
410.41,3,20170703,20170703,0.55,0.23,0.19,0.22,,0.95,0.42,0.53,0.90,,20.79,0.17,0.27,1.00,,0.07,0.09,0.08,0.19,,-0.784147322,2.409151554,1.78,2.63,4.71,13.59,,60.93282301,0.983871996,#NUM!,,0.023061400,0.003300087,0.003060538,0.003831119,,0.922100326,0.002836950,0.002772842,0.297992578,,0.002772837,0.002836944,0.002772839,0.967499056,,0.099406587,0.002969242,0.002902408,0.002887708,,0.000000000,0.000000000,0.000000000,0.000000000,,0.517950296,#NUM!
