Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
410.20,8,20170626,20170626,0.19222,0.07425,0.02617,0.04502,,0.686290,0.832969,0.768475,2.118172,,0.519029,1.138855,0.794020,1.100102,,0.028011,0.008168,0.011842,0.257890,,-0.444507,0.370656,1.877271,2.188804,2.392579,5.633126,,70.639254,1.035636,#NUM!,,0.000001,0.000001,0.000001,0.000001,,0.362606,0.576782,0.011832,0.000002,,0.000851,0.714942,0.003488,0.216119,,0.000002,0.000001,0.000001,0.000001,,0.000000,0.000000,0.000000,0.000000,,0.907869,#NUM!
410.23,5,20170626,20170626,0.76439,0.40630,0.31121,0.42572,,0.911022,0.618799,0.754968,1.448178,,0.512708,0.512789,0.464167,1.170364,,0.130073,0.217505,0.225398,0.256138,,-0.079583,3.100812,2.393526,3.538689,6.837297,27.176441,,66.007147,0.786874,#NUM!,,0.110410,0.000400,0.000245,0.006153,,0.285048,0.000138,0.000114,0.001805,,0.001013,0.000163,0.000114,0.097719,,0.011045,0.000135,0.000124,0.000123,,0.000000,0.000000,0.000000,0.000000,,0.081771,#NUM!
410.25,8,20170626,20170626,0.43805,0.40569,0.47556,0.59249,,0.695908,0.541947,0.741025,1.060999,,0.424468,0.412050,0.448377,1.102029,,0.229148,0.358130,0.363185,0.419052,,0.076485,2.319499,2.316685,5.044717,16.960939,62.655392,,63.615802,1.674260,#NUM!,,0.000339,0.000201,0.001726,0.048273,,0.072291,0.000001,0.000001,0.519152,,0.000008,0.000002,0.000001,0.131753,,0.008068,0.000002,0.000001,0.000001,,0.000000,0.000000,0.000000,0.000000,,0.002308,#NUM!
410.26,7,20170626,20170626,0.40445,0.34488,0.35995,0.38187,,0.333490,0.568974,0.709139,0.927075,,0.372051,0.527118,0.374522,1.120527,,0.076351,0.140196,0.195018,0.310951,,-0.420625,2.386096,2.017606,3.130795,6.593023,19.341818,,58.573578,0.576357,#NUM!,,0.000066,0.000015,0.000032,0.000107,,0.005404,0.000007,0.000005,0.261991,,0.000012,0.000010,0.000005,0.988983,,0.000344,0.000006,0.000006,0.000006,,0.000000,0.000000,0.000000,0.000000,,0.000476,#NUM!
410.27,2,20170626,20170626,0.55201,0.22148,0.12026,0.13301,,0.621920,0.751741,0.770300,1.408660,,0.744501,0.431396,0.487597,1.084540,,0.043366,0.155904,0.178123,0.264207,,-0.237268,1.393542,2.339025,2.551353,3.474920,7.219967,,60.012169,0.736145,#NUM!,,0.079880,0.016092,0.015049,0.015563,,0.359623,0.024364,0.014550,0.071836,,0.216959,0.015563,0.014550,0.555264,,0.021789,0.015433,0.015049,0.014941,,0.000000,0.000000,0.000000,0.000000,,0.087912,#NUM!
410.28,8,20170626,20170626,0.47702,0.18335,0.09616,0.06801,,0.363328,0.390769,0.425665,0.613045,,0.566442,0.397434,0.250649,0.974867,,0.169054,0.271175,0.251895,0.221470,,-0.103733,1.807839,2.213356,2.913662,4.350854,8.225986,,36.876538,2.235527,#NUM!,,0.000049,0.000001,0.000001,0.000001,,0.000071,0.000001,0.000001,0.000043,,0.000637,0.102093,0.000001,0.292268,,0.008362,0.000368,0.000006,0.000001,,0.000000,0.000000,0.000000,0.000000,,0.001780,#NUM!
410.33,3,20170703,20170703,1.15803,0.87239,0.70261,0.54861,,0.477721,0.417547,0.602022,0.658332,,0.269852,0.227053,0.321957,0.982083,,0.159539,0.126894,0.120573,0.255678,,-0.208109,3.827970,2.209558,4.685050,11.478604,29.814041,,43.899168,0.993613,#NUM!,,0.319118,0.289845,0.087689,0.080548,,0.010071,0.002847,0.002778,0.003861,,0.003427,0.002847,0.002778,0.821882,,0.070728,0.002989,0.002917,0.002920,,0.000000,0.000000,0.000000,0.000000,,0.560663,#NUM!
410.35,3,20170703,20170703,1.21651,0.77114,0.74289,0.65931,,0.397069,0.462917,0.652611,0.908674,,0.357301,0.270902,0.366984,1.115635,,0.214964,0.144492,0.129468,0.183070,,-0.009913,3.768507,2.537446,4.997571,14.129794,46.405987,,51.074078,0.863112,#NUM!,,0.907912,0.163232,0.133291,0.315507,,0.006724,0.002847,0.002778,0.240840,,0.005193,0.002847,0.002778,0.258223,,0.100890,0.003013,0.002917,0.002890,,0.000000,0.000000,0.000000,0.000000,,0.271740,#NUM!
410.36,5,20170703,20170703,1.17595,0.75635,0.67889,0.59513,,0.499645,0.396665,0.563310,0.724569,,0.291978,0.228773,0.311363,1.099736,,0.193114,0.115423,0.109538,0.190732,,0.011813,3.268302,2.386831,4.933129,13.050308,38.360039,,50.459283,1.094115,#NUM!,,0.339323,0.239268,0.035008,0.054657,,0.002043,0.000119,0.000114,0.004572,,0.000351,0.000119,0.000114,0.899690,,0.039568,0.000129,0.000124,0.000123,,0.000000,0.000000,0.000000,0.000000,,0.224114,#NUM!
410.37,4,20170703,20170703,0.60118,0.46350,0.44457,0.47099,,0.221777,0.424776,0.612338,0.903164,,0.240087,0.179479,0.293026,1.116796,,0.108388,0.105482,0.114596,0.178268,,-0.344261,3.329700,2.057312,3.903596,10.348776,35.272770,,58.523492,1.338038,#NUM!,,0.043103,0.002550,0.003041,0.019662,,0.000678,0.000574,0.000556,0.176700,,0.000716,0.000574,0.000556,0.702349,,0.013330,0.000616,0.000592,0.000586,,0.000000,0.000000,0.000000,0.000000,,0.010320,#NUM!
